dimension,group,family,main_irr,main_ci,main_rec,sens_irr,sens_ci,sens_rec,status,n_all,n_kept
aggregate-vs-NHW,AIAN,,0.560," [0.550, 0.570]",500,0.58," [0.52, 0.65]",66,changed,6,2
aggregate-vs-NHW,Asian/PI (aggregate),,0.769," [0.752, 0.788]",169,0.92," [0.9, 0.95]",66,changed,5,2
aggregate-vs-NHW,Black,,0.933," [0.920, 0.946]",169,0.97," [0.95, 1.0]",66,changed,9,2
aggregate-vs-NHW,Hispanic,,0.718," [0.707, 0.731]",169,0.75," [0.73, 0.76]",66,changed,7,2
disaggregated-AANHPI,Asian Indian/Pakistani,,0.958," [0.937, 0.979]",234,0.61," [0.56, 0.66]",955,changed,3,1
Hispanic-origin,Cuban,,0.769," [0.688, 0.860]",3182,,,,dropped,1,0
Hispanic-origin,Mexican,,0.512," [0.382, 0.686]",3182,,,,dropped,1,0
Hispanic-origin,New Latino,,0.697," [0.629, 0.771]",3182,,,,dropped,1,0
Hispanic-origin,Puerto Rican,,0.833," [0.738, 0.939]",3182,,,,dropped,1,0
age-ge40,Black,,0.851," [0.841, 0.862]",265,,,,dropped,1,0
age-ge50,AIAN,,0.647,,485,,,,dropped,1,0
age-ge50,Asian/PI (aggregate),,0.659,,485,,,,dropped,1,0
age-ge50,Black,,0.914,,485,,,,dropped,1,0
age-ge50,Filipina,,0.774," [0.700, 0.855]",522,,,,dropped,1,0
age-ge50,Hispanic,,0.660,,485,,,,dropped,1,0
age-ge50,Japanese,,1.064," [0.978, 1.157]",522,,,,dropped,1,0
age-ge50,Native Hawaiian,,1.366," [1.246, 1.499]",522,,,,dropped,1,0
age-lt40,Black,,1.183," [1.142, 1.226]",265,,,,dropped,2,0
age-lt50,Filipina,,0.768," [0.633, 0.932]",522,,,,dropped,1,0
age-lt50,Japanese,,1.479," [1.252, 1.748]",522,,,,dropped,1,0
age-lt50,Native Hawaiian,,0.858," [0.710, 1.036]",522,,,,dropped,1,0
disaggregated-AANHPI,Asian American (aggregate),,0.792," [0.784, 0.800]",234,,,,dropped,2,0
disaggregated-AANHPI,Cambodian,,0.264," [0.204, 0.341]",3267,,,,dropped,1,0
disaggregated-AANHPI,Chinese,,0.760," [0.745, 0.775]",234,,,,dropped,6,0
disaggregated-AANHPI,Filipina,,0.857," [0.839, 0.874]",234,,,,dropped,5,0
disaggregated-AANHPI,Guamanian/Chamorro/Samoan,,0.723," [0.641, 0.817]",234,,,,dropped,1,0
disaggregated-AANHPI,Hmong,,0.164," [0.120, 0.224]",49,,,,dropped,1,0
disaggregated-AANHPI,Japanese,,1.045," [1.009, 1.083]",234,,,,dropped,5,0
disaggregated-AANHPI,Korean,,0.677," [0.654, 0.701]",234,,,,dropped,7,0
disaggregated-AANHPI,Laotian/Kampuchean,,0.388," [0.350, 0.430]",234,,,,dropped,1,0
disaggregated-AANHPI,Native Hawaiian,,1.211," [1.123, 1.305]",4040,,,,dropped,2,0
disaggregated-AANHPI,Native Hawaiian/PI (aggregate),,1.212," [1.168, 1.258]",234,,,,dropped,1,0
disaggregated-AANHPI,Vietnamese,,0.586," [0.566, 0.608]",234,,,,dropped,5,0
subtype-ERneg-PRpos,Black,,1.459," [1.267, 1.679]",200,,,,dropped,1,0
subtype-ERpos-PRneg,Black,,0.974," [0.925, 1.027]",200,,,,dropped,1,0
subtype-HRneg,Black,,1.796," [1.740, 1.853]",10,,,,dropped,2,0
subtype-HRpos,Black,,0.820," [0.805, 0.836]",10,,,,dropped,2,0
subtype-HRpos-HER2pos,Asian/PI (aggregate),,0.850," [0.768, 0.941]",2,,,,dropped,1,0
AIAN,AIAN,,0.87,,2510,0.87,,2510,unchanged,3,2
AIAN,AIAN (Navajo),,0.49," [0.44, 0.55]",1478,0.49," [0.44, 0.55]",1478,unchanged,1,1
AIAN,AIAN (Northern Plains),,1.33," [1.26, 1.41]",3662,1.33," [1.26, 1.41]",3662,unchanged,2,1
AIAN,AIAN (Southern Plains),,1.25," [1.11, 1.41]",3662,1.25," [1.11, 1.41]",3662,unchanged,1,1
Hispanic-origin,Hispanic/Latina (aggregate),,0.64,,3298,0.64,,3298,unchanged,2,1
age-lt40,Black (age<40),,1.16," [1.1, 1.23]",199,1.16," [1.1, 1.23]",199,unchanged,1,1
age-lt50,AIAN,,0.75," [0.72, 0.79]",146,0.75," [0.72, 0.79]",146,unchanged,1,1
age-lt50,Asian/PI (aggregate),,0.96," [0.95, 0.97]",146,0.96," [0.95, 0.97]",146,unchanged,1,1
age-lt50,Black,,1.01," [1.0, 1.03]",146,1.01," [1.0, 1.03]",146,unchanged,1,1
age-lt50,Hispanic,,0.76," [0.75, 0.77]",146,0.76," [0.75, 0.77]",146,unchanged,1,1
aggregate-vs-NHW,Black (women),,0.98," [0.97, 0.98]",2406,0.98," [0.97, 0.98]",2406,unchanged,1,1
disaggregated-MENA,Middle Eastern,,0.86," [0.84, 0.88]",587,0.86," [0.84, 0.88]",587,unchanged,1,1
subtype-HRneg-HER2pos,Asian-American combined,,1.21," [1.12, 1.30]",324,1.21," [1.12, 1.30]",324,unchanged,1,1
subtype-HRneg-HER2pos,Asian/PI (aggregate),,1.41," [1.33, 1.49]",286,1.41," [1.33, 1.49]",286,unchanged,1,1
subtype-HRneg-HER2pos,Black,,1.46," [1.38, 1.54]",286,1.46," [1.38, 1.54]",286,unchanged,1,1
subtype-HRneg-HER2pos,Japanese,,0.88," [0.82, 0.95]",161,0.88," [0.82, 0.95]",161,unchanged,1,1
subtype-HRneg-HER2pos,Native Hawaiian,,1.19," [1.16, 1.21]",161,1.19," [1.16, 1.21]",161,unchanged,1,1
subtype-HRpos-HER2neg,Asian/PI (aggregate),,0.87," [0.85, 0.88]",286,0.87," [0.85, 0.88]",286,unchanged,2,1
subtype-HRpos-HER2neg,Black,,0.86," [0.84, 0.87]",286,0.86," [0.84, 0.87]",286,unchanged,3,1
subtype-HRpos-HER2neg,Chinese,,0.58,,161,0.58,,161,unchanged,1,1
subtype-HRpos-HER2neg,Filipino,,0.64," [0.63, 0.66]",161,0.64," [0.63, 0.66]",161,unchanged,1,1
subtype-HRpos-HER2neg,Hispanic,,0.78," [0.76, 0.79]",286,0.78," [0.76, 0.79]",286,unchanged,2,1
subtype-HRpos-HER2neg,Japanese,,1.03," [1.03, 1.04]",161,1.03," [1.03, 1.04]",161,unchanged,1,1
subtype-HRpos-HER2neg,Native Hawaiian,,1.12," [1.11, 1.14]",161,1.12," [1.11, 1.14]",161,unchanged,1,1
subtype-HRpos-HER2pos,Black,,1.12," [1.08, 1.16]",286,1.12," [1.08, 1.16]",286,unchanged,2,1
subtype-HRpos-HER2pos,Chinese,,0.72," [0.55, 0.9]",161,0.72," [0.55, 0.9]",161,unchanged,1,1
subtype-HRpos-HER2pos,Filipino,,0.88," [0.86, 0.91]",161,0.88," [0.86, 0.91]",161,unchanged,1,1
subtype-HRpos-HER2pos,Hispanic,,0.91," [0.88, 0.94]",286,0.91," [0.88, 0.94]",286,unchanged,2,1
subtype-HRpos-HER2pos,Japanese,,1.03," [1.02, 1.05]",161,1.03," [1.02, 1.05]",161,unchanged,1,1
subtype-HRpos-HER2pos,Native Hawaiian,,1.35," [1.347, 1.351]",161,1.35," [1.347, 1.351]",161,unchanged,1,1
subtype-TNBC,AIAN,,0.860," [0.800, 0.930]",155,0.860," [0.800, 0.930]",155,unchanged,2,1
subtype-TNBC,Asian-American combined,,0.61," [0.58, 0.65]",324,0.61," [0.58, 0.65]",324,unchanged,1,1
subtype-TNBC,Asian/PI (aggregate),,0.700," [0.680, 0.720]",155,0.700," [0.680, 0.720]",155,unchanged,4,2
subtype-TNBC,Black,,1.950," [1.930, 1.980]",155,1.950," [1.930, 1.980]",155,unchanged,7,2
subtype-TNBC,Chinese,,0.53," [0.39, 0.71]",161,0.53," [0.39, 0.71]",161,unchanged,1,1
subtype-TNBC,Filipino,,0.84," [0.8, 0.88]",161,0.84," [0.8, 0.88]",161,unchanged,1,1
subtype-TNBC,Hispanic,,0.860," [0.840, 0.880]",155,0.860," [0.840, 0.880]",155,unchanged,5,2
subtype-TNBC,Native Hawaiian,,0.86," [0.79, 0.91]",161,0.86," [0.79, 0.91]",161,unchanged,1,1
